name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Chris Smalling,11.0,24.0,40.0,0.63,0.0,3.0,63.0,159.0,89.0,0.0,139.0,165.0,84.0,3.0,108.0,52.0,0.0,0.0,0.0,1137.0,39.21,0.0,0.0,0.0,0.0,44.0,4.0,0.0,24.0,2.0,4.0,2.0,1.0,1.0,0.0
 Craig Dawson,7.0,39.0,38.0,0.74,0.0,5.0,52.0,132.0,81.0,0.0,133.0,183.0,132.0,8.0,117.0,68.0,0.0,0.0,0.0,906.0,32.36,1.0,42.0,0.33,0.0,61.0,6.0,0.0,35.0,4.0,2.0,2.0,0.0,0.0,0.0
 Jonny Evans,4.0,38.0,29.0,0.76,0.0,3.0,48.0,126.0,67.0,1.0,142.0,120.0,84.0,10.0,54.0,34.0,1.0,0.0,2.0,961.0,34.32,1.0,4.0,0.5,0.0,80.0,7.0,0.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0
 Wesley Hoedt,5.0,42.0,60.0,0.85,1.0,3.0,40.0,172.0,82.0,0.0,200.0,161.0,104.0,25.0,61.0,53.0,0.0,2.0,1.0,1323.0,47.25,1.0,6.0,0.17,1.0,142.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0
 José Holebas,5.0,47.0,51.0,0.61,0.0,7.0,29.0,81.0,43.0,0.0,160.0,136.0,142.0,23.0,45.0,35.0,0.0,1.0,4.0,958.0,34.21,6.0,210.0,0.21,0.0,55.0,7.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0
 Christian Kabasele,6.0,43.0,42.0,0.6,1.0,0.0,34.0,173.0,99.0,2.0,98.0,164.0,93.0,3.0,103.0,46.0,1.0,0.0,0.0,903.0,32.25,0.0,1.0,0.0,0.0,64.0,5.0,0.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0
 Adrian Mariappa,6.0,43.0,45.0,0.58,1.0,2.0,45.0,129.0,79.0,1.0,111.0,149.0,130.0,2.0,90.0,75.0,0.0,2.0,0.0,961.0,34.32,0.0,4.0,0.0,0.0,54.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
 Nacho Monreal,10.0,29.0,54.0,0.59,1.0,5.0,56.0,74.0,41.0,1.0,155.0,139.0,119.0,6.0,62.0,63.0,0.0,1.0,2.0,1719.0,61.39,4.0,31.0,0.19,0.0,45.0,3.0,0.0,19.0,2.0,5.0,1.0,1.0,3.0,1.0
 Danny Simpson,5.0,41.0,38.0,0.58,0.0,0.0,34.0,94.0,53.0,0.0,130.0,97.0,106.0,10.0,40.0,46.0,0.0,1.0,0.0,904.0,32.29,0.0,23.0,0.3,2.0,51.0,4.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
 James Tomkins,8.0,32.0,47.0,0.55,1.0,2.0,63.0,213.0,108.0,1.0,124.0,182.0,103.0,6.0,116.0,66.0,0.0,1.0,0.0,888.0,31.71,0.0,1.0,0.0,0.0,75.0,8.0,0.0,20.0,1.0,3.0,1.0,1.0,1.0,2.0
 Patrick van Aanholt,5.0,38.0,47.0,0.66,0.0,9.0,47.0,56.0,24.0,0.0,162.0,89.0,63.0,26.0,6.0,5.0,0.0,0.0,1.0,882.0,31.5,3.0,56.0,0.23,3.0,39.0,7.0,0.0,18.0,3.0,5.0,0.0,2.0,3.0,0.0
 Stephen Ward,9.0,27.0,39.0,0.79,0.0,1.0,42.0,102.0,47.0,0.0,105.0,127.0,70.0,5.0,59.0,28.0,0.0,0.0,1.0,923.0,32.96,2.0,82.0,0.18,0.0,69.0,1.0,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0
 Gary Cahill,9.0,24.0,29.0,0.72,0.0,2.0,27.0,123.0,79.0,0.0,103.0,141.0,61.0,4.0,93.0,31.0,0.0,1.0,0.0,1330.0,49.26,0.0,0.0,0.0,0.0,47.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
 Andreas Christensen,6.0,23.0,26.0,0.5,0.0,2.0,38.0,104.0,60.0,0.0,139.0,98.0,40.0,5.0,56.0,29.0,0.0,1.0,0.0,1349.0,49.96,0.0,0.0,0.0,1.0,62.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0
