,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions_y,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
106,Kevin Stewart,Liverpool,72,CDM,74.0,75,73,51.0,61,51,61,44,64,25,56.0,56,41,29,65,76,69,63,68,73,70,65,0,70.2,64,71,72,73,71,73.5,73,70,74,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0
107,Dean Marney,Burnley,72,CM,67.0,68,66,63.83333333,59,64,66,56,72,66,66.33333333,68,59,52,74,75,70,70,63,68,68,69,0,68.2,64,74,68,66,69,80.5,83,78,83,78,1.0,0.05,0.0,1.0,0.0,0.0,0.0,12.0,3.0,0.25,0.0,0.0,2.0,728.0,34.67,1.0,7.0,0.14,1.0,70.0,7.0,0.0,35.0,0.0,36.0,0.69,2.0,27.0,29.0,13.0,86.0,70.0,88.0,3.0,12.0,13.0,0.0
108,Bakary Sako,Crystal Palace,72,LM,78.0,77,79,71.66666667,72,66,75,70,79,68,70.16666667,75,74,73,63,67,69,76,74,68,73,67,0,41.2,61,40,37,33,35,70.75,75,60,64,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,42.0,6.0,0.0,16.0,0.25,0.0,2.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,11.0,16.0,10.0,2.0,3.0,2.0,0.0
109,Junior Stanislas,Bournemouth,72,RM,81.5,79,84,62.83333333,63,69,66,61,69,49,70.0,71,70,75,64,71,69,72,79,60,70,64,0,35.0,43,60,16,27,29,52.75,31,48,76,56,7.0,0.33,0.0,6.0,1.0,2.0,0.0,42.0,18.0,0.43,3.0,1.0,5.0,615.0,29.29,6.0,70.0,0.19,7.0,21.0,1.0,0.0,8.0,5.0,14.0,0.57,12.0,8.0,14.0,5.0,82.0,49.0,83.0,13.0,15.0,34.0,0.0
110,Ryan Fraser,Bournemouth,72,LM,90.0,89,91,60.0,67,65,69,56,60,43,65.66666667,70,70,67,52,68,67,76,92,92,71,62,0,38.6,25,35,53,43,37,61.5,65,61,73,47,3.0,0.11,0.0,3.0,0.0,0.0,0.0,24.0,12.0,0.5,0.0,0.0,5.0,670.0,23.93,5.0,122.0,0.19,5.0,18.0,3.0,0.0,18.0,2.0,15.0,0.8,3.0,10.0,15.0,7.0,77.0,104.0,90.0,20.0,5.0,17.0,0.0
111,Ramadan Sobhi,Stoke City,71,LW,78.0,79,77,64.0,71,60,65,65,62,61,66.16666667,66,59,63,62,77,70,74,73,66,75,55,0,45.0,59,33,43,44,46,55.75,54,51,62,56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.25,1.0,1.0,1.0,299.0,17.59,2.0,7.0,0.14,1.0,4.0,2.0,0.0,10.0,3.0,22.0,0.86,0.0,8.0,0.0,0.0,62.0,60.0,73.0,26.0,3.0,8.0,0.0
112,Jordon Ibe,Bournemouth,71,LM,86.0,86,86,64.33333333,67,65,68,57,79,50,55.0,66,65,24,56,65,54,77,75,80,74,64,0,46.8,35,46,45,55,53,62.5,50,60,69,71,3.0,0.03,0.0,2.0,1.0,0.0,0.0,113.0,28.0,0.25,6.0,3.0,9.0,1879.0,18.24,7.0,249.0,0.23,9.0,39.0,1.0,0.0,34.0,5.0,41.0,0.88,45.0,26.0,15.0,6.0,294.0,299.0,392.0,165.0,10.0,37.0,0.0
113,Demarai Gray,Leicester City,71,LM,89.5,91,88,61.5,63,66,64,58,68,50,57.0,62,60,42,56,65,57,79,90,82,76,62,0,23.6,31,23,21,23,20,53.25,33,55,71,54,1.0,0.03,0.0,1.0,0.0,0.0,0.0,27.0,8.0,0.3,0.0,0.0,3.0,326.0,10.87,3.0,82.0,0.17,0.0,14.0,2.0,0.0,10.0,2.0,19.0,0.68,8.0,8.0,10.0,3.0,62.0,74.0,98.0,36.0,5.0,33.0,0.0
114,George Boyd,Burnley,71,RM,67.0,66,68,69.16666667,69,69,70,71,68,68,69.0,70,69,68,68,69,70,73,78,64,71,68,0,56.0,47,59,54,62,58,58.75,47,32,86,70,2.0,0.06,0.0,0.0,2.0,0.0,0.0,34.0,6.0,0.18,0.0,0.0,1.0,550.0,15.28,3.0,39.0,0.15,1.0,13.0,3.0,0.0,31.0,8.0,87.0,0.75,15.0,34.0,35.0,16.0,152.0,157.0,187.0,20.0,23.0,56.0,0.0
115,Marko Grujic,Liverpool,71,CM,71.5,68,75,66.16666667,72,70,62,57,75,61,62.33333333,60,60,43,71,74,66,67,56,53,72,64,0,70.0,69,71,66,73,71,76.25,75,74,79,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,0.0,0.0,33.0,6.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,2.0,5.0,1.0,0.0
116,Andy King,Leicester City,71,CM,66.5,68,65,69.66666667,72,70,72,63,72,69,65.83333333,61,64,59,69,73,69,69,68,60,73,71,0,65.8,73,63,62,68,63,66.25,51,71,71,72,1.0,0.04,0.0,1.0,0.0,0.0,0.0,14.0,7.0,0.5,0.0,0.0,0.0,644.0,28.0,0.0,14.0,0.14,1.0,33.0,4.0,0.0,18.0,1.0,38.0,0.76,2.0,27.0,32.0,21.0,90.0,84.0,68.0,4.0,25.0,20.0,0.0
117,Adlene Guedioura,Watford,71,CM,70.5,69,72,67.0,59,63,75,57,84,64,61.33333333,62,36,56,72,74,68,68,65,67,72,65,0,64.2,64,64,60,67,66,78.75,81,74,76,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.2,0.0,0.0,1.0,393.0,23.12,1.0,30.0,0.27,3.0,30.0,2.0,0.0,20.0,1.0,22.0,0.86,5.0,9.0,10.0,4.0,64.0,65.0,65.0,15.0,19.0,10.0,0.0
118,Josh Onomah,Tottenham Hotspur,71,CAM,81.5,84,79,56.16666667,69,56,56,42,62,52,60.5,53,54,49,65,74,68,74,78,75,70,64,0,35.8,45,36,36,36,26,50.25,45,44,62,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,3.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,0.0
119,Jordon Mutch,Crystal Palace,70,CM,67.0,65,69,65.16666667,70,62,72,67,76,44,70.33333333,68,75,71,69,71,68,69,65,64,73,68,0,63.2,67,63,62,63,61,69.25,74,67,67,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.25,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,7.0,5.0,1.0,0.0,3.0,0.0,0.0
120,Nathaniel Chalobah,Chelsea,70,CM,70.0,72,68,50.83333333,52,37,67,49,71,29,57.33333333,42,51,38,68,73,72,68,76,58,73,69,0,66.8,68,69,65,68,64,68.75,65,71,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,103.0,10.3,1.0,0.0,0.0,1.0,7.0,2.0,0.0,2.0,0.0,5.0,0.8,0.0,2.0,4.0,2.0,12.0,11.0,10.0,1.0,4.0,1.0,0.0
121,Lewis Cook,Bournemouth,70,CAM,76.5,79,74,52.83333333,55,56,57,45,60,44,61.83333333,57,48,57,68,75,66,75,79,82,76,69,0,61.0,47,66,61,66,65,70.25,79,60,79,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,2.0,279.0,46.5,1.0,2.0,0.0,1.0,28.0,1.0,0.0,2.0,0.0,10.0,0.8,1.0,7.0,2.0,0.0,32.0,16.0,31.0,2.0,1.0,11.0,0.0
122,Edimilson Fernandes,West Ham United,70,CAM,79.0,77,81,61.5,56,68,66,55,70,54,61.83333333,54,57,51,68,73,68,71,72,58,71,58,0,45.6,43,35,54,42,54,61.25,46,60,72,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.2,1.0,0.0,0.0,473.0,16.89,0.0,11.0,0.18,0.0,23.0,4.0,0.0,16.0,1.0,22.0,0.68,13.0,19.0,10.0,4.0,78.0,42.0,67.0,10.0,3.0,12.0,0.0
123,Michael Kightly,Burnley,70,LM,76.5,77,76,62.5,65,62,61,62,65,60,59.83333333,68,54,43,63,64,67,70,76,75,70,68,0,39.8,51,52,24,39,33,64.5,48,64,78,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,5.6,0.0,13.0,0.08,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,6.0,7.0,8.0,0.0,1.0,2.0,0.0
124,Harry Winks,Tottenham Hotspur,69,CM,76.0,78,74,55.66666667,59,52,60,51,62,50,66.83333333,62,63,57,71,77,71,65,77,73,69,67,0,51.6,45,53,51,56,53,60.25,58,54,67,62,1.0,0.05,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,0.0,1.0,366.0,17.43,1.0,7.0,0.0,1.0,26.0,1.0,0.0,10.0,0.0,10.0,0.8,2.0,5.0,6.0,1.0,36.0,32.0,27.0,11.0,1.0,4.0,0.0
125,Matty James,Leicester City,69,CM,64.5,65,64,57.83333333,62,59,58,52,72,44,68.33333333,70,67,62,70,74,67,67,62,71,70,65,0,64.8,63,63,67,64,67,68.75,64,67,75,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Ruben Loftus-Cheek,Chelsea,68,CAM,69.5,69,70,50.5,68,61,47,45,51,31,50.83333333,36,31,31,65,75,67,68,58,71,70,55,0,62.2,57,62,64,67,61,64.75,52,60,76,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,5.0,1.0,1.0,0.0,0.0
127,Harrison Reed,Southampton,68,CDM,68.5,69,68,50.66666667,55,49,53,49,58,40,62.33333333,59,58,51,66,74,66,62,74,85,66,58,0,59.8,46,61,58,70,64,68.0,77,56,74,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,12.67,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,6.0,4.0,8.0,0.0,2.0,2.0,0.0
128,Jay Fulton,Swansea City,67,CM,68.5,69,68,53.66666667,57,52,50,51,67,45,56.66666667,54,49,33,67,73,64,63,70,64,72,57,0,71.2,76,66,70,71,73,69.25,75,57,69,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,323.0,29.36,0.0,5.0,0.0,1.0,14.0,2.0,0.0,11.0,0.0,31.0,0.61,2.0,7.0,15.0,6.0,46.0,57.0,53.0,1.0,16.0,22.0,0.0
129,Oviemuno Ejaria,Liverpool,66,CAM,74.5,73,76,55.66666667,50,57,47,57,67,56,60.83333333,56,60,49,71,74,55,68,61,61,77,63,0,46.6,57,27,45,47,57,59.75,46,58,60,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
130,Tom Davies,Everton,64,CM,72.5,72,73,46.83333333,58,46,47,42,48,40,53.33333333,44,43,38,60,68,67,64,63,70,67,62,0,55.6,52,56,48,64,58,65.75,70,55,72,66,2.0,0.08,0.0,1.0,1.0,0.0,0.0,14.0,5.0,0.36,1.0,1.0,3.0,783.0,32.63,3.0,11.0,0.0,5.0,32.0,4.0,0.0,25.0,4.0,36.0,0.72,6.0,18.0,10.0,5.0,94.0,97.0,122.0,15.0,10.0,26.0,0.0
131,Sam Field,West Bromwich Albion,64,CM,64.0,68,60,51.5,55,41,44,54,68,47,58.33333333,50,49,47,73,76,55,61,53,77,63,62,0,54.6,63,50,45,54,61,61.5,69,56,75,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,13.13,0.0,7.0,0.29,0.0,4.0,2.0,0.0,5.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,25.0,11.0,14.0,1.0,3.0,3.0,0.0
132,Ainsley Maitland-Niles,Arsenal,64,CM,77.0,79,75,52.0,56,51,54,54,58,39,55.0,60,43,36,63,68,60,65,74,70,63,62,0,53.2,38,61,56,55,56,64.0,58,58,72,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
133,Aleix Garcia,Manchester City,63,CM,62.0,66,58,47.33333333,48,61,38,49,48,40,59.5,47,53,45,72,73,67,63,65,81,69,51,0,39.4,43,39,32,41,42,49.75,45,55,56,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,24.25,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.67,0.0,4.0,0.0,0.0,8.0,8.0,2.0,0.0,1.0,0.0,0.0
134,Josh Sims,Southampton,63,LM,82.5,82,83,57.0,53,57,53,67,58,54,55.0,58,58,45,52,61,56,68,61,78,65,46,0,31.0,42,20,26,31,36,48.5,37,45,58,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,0.0,1.0,1.0,81.0,11.57,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,14.0,17.0,17.0,9.0,2.0,7.0,0.0
135,Aiden O'Neill,Burnley,62,CM,64.5,63,66,47.0,53,46,44,46,52,41,51.5,35,44,33,65,71,61,58,51,70,62,55,0,48.8,45,53,50,47,49,57.75,58,55,68,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,17.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.5,1.0,0.0,1.0,1.0,5.0,3.0,6.0,0.0,1.0,1.0,0.0
